179		       		179				179	
112.0      5.763         112.0       10.78          112.0       19.51 
113.0      5.842         113.0       10.48          113.0       18.78 
114.0      5.918         114.0       10.18          114.0       18.13 
115.0      5.992         115.0       9.885          115.0       17.56 
116.0      6.063         116.0       9.594          116.0       17.07 
117.0      6.131         117.0       9.309          117.0       16.66 
118.0      6.195         118.0       9.03           118.0       16.33 
119.0      6.255         119.0       8.759          119.0       16.07 
120.0      6.312         120.0       8.496          120.0       15.89 
121.0      6.364         121.0       8.243          121.0        15.77  
122.0      6.411         122.0       7.999          122.0       15.73  
123.0      6.455         123.0       7.765          123.0       15.74  
124.0      6.494         124.0       7.542          124.0       15.82  
125.0      6.529         125.0       7.33           125.0       15.96  
126.0      6.56          126.0       7.129          126.0       16.15  
127.0      6.586         127.0       6.94           127.0       16.39  
128.0      6.609         128.0       6.762          128.0       16.69  
129.0      6.627         129.0       6.597          129.0       17.03  
130.0      6.641         130.0       6.443          130.0       17.41  
131.0      6.652         131.0       6.301          131.0       17.83  
132.0      6.659         132.0       6.171          132.0       18.29  
133.0      6.662         133.0       6.053          133.0       18.79  
134.0      6.662         134.0       5.946          134.0       19.31  
135.0      6.658         135.0       5.851          135.0       19.86  
136.0      6.652         136.0       5.767          136.0       20.44  
137.0      6.642         137.0       5.693          137.0       21.04  
138.0      6.63          138.0       5.63           138.0       21.66  
139.0      6.615         139.0       5.577          139.0       22.29  
140.0      6.597         140.0       5.534          140.0       22.94  
141.0      6.577         141.0       5.5            141.0       23.6   
142.0      6.555         142.0       5.475          142.0       24.27  
143.0      6.531         143.0       5.459          143.0       24.94  
144.0      6.505         144.0       5.451          144.0       25.61  
145.0      6.478         145.0       5.45           145.0       26.29  
146.0      6.449         146.0       5.457          146.0       26.96  
147.0      6.419         147.0       5.47           147.0       27.63  
148.0      6.388         148.0       5.489          148.0       28.29  
149.0      6.355         149.0       5.514          149.0       28.95  
150.0      6.322         150.0       5.544          150.0       29.59  
151.0      6.288         151.0       5.579          151.0       30.23  
152.0      6.254         152.0       5.617          152.0       30.85  
153.0      6.22          153.0       5.66           153.0       31.46  
154.0      6.185         154.0       5.705          154.0       32.05  
155.0      6.15          155.0       5.753          155.0       32.63  
156.0      6.116         156.0       5.804          156.0       33.18  
157.0      6.082         157.0       5.856          157.0       33.72  
158.0      6.048         158.0       5.909          158.0       34.24  
159.0      6.015         159.0       5.963          159.0       34.74  
160.0      5.982         160.0       6.018          160.0       35.22  
161.0      5.95          161.0       6.073          161.0       35.67  
162.0      5.919         162.0       6.127          162.0       36.11  
163.0      5.889         163.0       6.181          163.0       36.52  
164.0      5.86          164.0       6.233          164.0       36.91  
165.0      5.833         165.0       6.284          165.0       37.27  
166.0      5.807         166.0       6.333          166.0       37.62  
167.0      5.782         167.0       6.381          167.0       37.94  
168.0      5.758         168.0       6.425          168.0       38.23  
169.0      5.737         169.0       6.468          169.0       38.5   
170.0      5.717         170.0       6.507          170.0       38.75  
171.0      5.698         171.0       6.543          171.0       38.97  
172.0      5.682         172.0       6.576          172.0       39.17  
173.0      5.667         173.0       6.606          173.0       39.35  
174.0      5.654         174.0       6.632          174.0       39.5   
175.0      5.643         175.0       6.654          175.0       39.63  
176.0      5.634         176.0       6.672          176.0       39.74  
177.0      5.627         177.0       6.687          177.0       39.82  
178.0      5.622         178.0       6.697          178.0       39.88  
179.0      5.619         179.0       6.703          179.0       39.91  


                                                    
                                                    
                                                    
                                                    
                                     
                                     
                                     
                                     
                                     
                                     
                                     
                                     
                                     
                                     
                                     
