129	129	129	129
53.0000   0.527970E-01      53.0000   0.204458E+00     53.0000   0.185711E-01     53.0000   0.818152E-01 
54.0000   0.579637E-01      54.0000   0.220895E+00     54.0000   0.205821E-01     54.0000   0.882008E-01 
55.0000   0.635043E-01      55.0000   0.237119E+00     55.0000   0.226691E-01     55.0000   0.950236E-01 
56.0000   0.694251E-01      56.0000   0.253015E+00     56.0000   0.248276E-01     56.0000   0.102244E+00 
57.0000   0.757209E-01      57.0000   0.268568E+00     57.0000   0.270544E-01     57.0000   0.109761E+00 
58.0000   0.823738E-01      58.0000   0.283869E+00     58.0000   0.293477E-01     58.0000   0.117438E+00 
59.0000   0.893550E-01      59.0000   0.299108E+00     59.0000   0.317073E-01     59.0000   0.125127E+00 
60.0000   0.966276E-01      60.0000   0.314546E+00     60.0000   0.341348E-01     60.0000   0.132705E+00 
61.0000   0.104152E+00      61.0000   0.330483E+00     61.0000   0.366335E-01     61.0000   0.140098E+00 
62.0000   0.111891E+00      62.0000   0.347210E+00     62.0000   0.392090E-01     62.0000   0.147301E+00 
63.0000   0.119815E+00      63.0000   0.364972E+00     63.0000   0.418688E-01     63.0000   0.154380E+00 
64.0000   0.127906E+00      64.0000   0.383938E+00     64.0000   0.446228E-01     64.0000   0.161469E+00 
65.0000   0.136161E+00      65.0000   0.404180E+00     65.0000   0.474827E-01     65.0000   0.168750E+00 
66.0000   0.144591E+00      66.0000   0.425672E+00     66.0000   0.504624E-01     66.0000   0.176432E+00 
67.0000   0.153218E+00      67.0000   0.448305E+00     67.0000   0.535771E-01     67.0000   0.184723E+00 
68.0000   0.162072E+00      68.0000   0.471909E+00     68.0000   0.568438E-01     68.0000   0.193802E+00 
69.0000   0.171185E+00      69.0000   0.496286E+00     69.0000   0.602801E-01     69.0000   0.203794E+00 
70.0000   0.180585E+00      70.0000   0.521237E+00     70.0000   0.639041E-01     70.0000   0.214758E+00 
71.0000   0.190290E+00      71.0000   0.546591E+00     71.0000   0.677333E-01     71.0000   0.226674E+00 
72.0000   0.200305E+00      72.0000   0.572222E+00     72.0000   0.717839E-01     72.0000   0.239452E+00 
73.0000   0.210616E+00      73.0000   0.598048E+00     73.0000   0.760699E-01     73.0000   0.252943E+00 
74.0000   0.221196E+00      74.0000   0.624031E+00     74.0000   0.806016E-01     74.0000   0.266963E+00 
75.0000   0.232002E+00      75.0000   0.650157E+00     75.0000   0.853854E-01     75.0000   0.281321E+00 
76.0000   0.242981E+00      76.0000   0.676415E+00     76.0000   0.904226E-01     76.0000   0.295842E+00 
77.0000   0.254077E+00      77.0000   0.702781E+00     77.0000   0.957087E-01     77.0000   0.310392E+00 
78.0000   0.265237E+00      78.0000   0.729198E+00     78.0000   0.101234E+00     78.0000   0.324889E+00 
79.0000   0.276413E+00      79.0000   0.755577E+00     79.0000   0.106981E+00     79.0000   0.339303E+00 
80.0000   0.287573E+00      80.0000   0.781796E+00     80.0000   0.112929E+00     80.0000   0.353644E+00 
81.0000   0.298697E+00      81.0000   0.807716E+00     81.0000   0.119051E+00     81.0000   0.367947E+00 
82.0000   0.309780E+00      82.0000   0.833205E+00     82.0000   0.125317E+00     82.0000   0.382249E+00 
83.0000   0.320831E+00      83.0000   0.858162E+00     83.0000   0.131694E+00     83.0000   0.396575E+00 
84.0000   0.331869E+00      84.0000   0.882535E+00     84.0000   0.138147E+00     84.0000   0.410916E+00 
85.0000   0.342918E+00      85.0000   0.906343E+00     85.0000   0.144643E+00     85.0000   0.425237E+00 
86.0000   0.353999E+00      86.0000   0.929677E+00     86.0000   0.151155E+00     86.0000   0.439470E+00 
87.0000   0.365129E+00      87.0000   0.952693E+00     87.0000   0.157659E+00     87.0000   0.453537E+00 
88.0000   0.376318E+00      88.0000   0.975593E+00     88.0000   0.164140E+00     88.0000   0.467362E+00 
89.0000   0.387561E+00      89.0000   0.998598E+00     89.0000   0.170592E+00     89.0000   0.480891E+00 
90.0000   0.398844E+00      90.0000   0.102191E+01     90.0000   0.177020E+00     90.0000   0.494108E+00 
91.0000   0.410144E+00      91.0000   0.104570E+01     91.0000   0.183439E+00     91.0000   0.507049E+00 
92.0000   0.421428E+00      92.0000   0.107002E+01     92.0000   0.189873E+00     92.0000   0.519803E+00 
93.0000   0.432664E+00      93.0000   0.109486E+01     93.0000   0.196354E+00     93.0000   0.532512E+00 
